Region,Year,Pop_Age_<25,Pop_Age_25-34,Pop_Age_35-44,Pop_Age_45-54,Pop_Age_55-64,Pop_Age_65 and above,Age_<25,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65 and above,propensity__<25,propensity__25-34,propensity__35-44,propensity__45-54,propensity__55-64,propensity__65 and above
VI - W. Visayas,2014,3748202.4,1097698.4,886846.4,740188.0,524788.0,460993.60000000003,0.0,46.0,291.0,316.0,264.0,151.0,0.0,4.190586412442617e-05,0.0003281289747581994,0.00042691856663442263,0.0005030602833906263,0.00032755335431988643
VI - W. Visayas,2015,3749478.0,1117398.0,896283.0,752360.0,541860.0,471267.0,1.0,82.0,539.0,592.0,452.0,255.0,2.6670379183449004e-07,7.338477427022422e-05,0.0006013725575515769,0.000786857355521293,0.0008341638061491898,0.0005410945387646493
VI - W. Visayas,2016,3754767.0,1143846.0,912752.0,758738.0,552916.0,487370.0,1.0,83.0,590.0,647.0,494.0,283.0,2.6632811037276083e-07,7.256221554300142e-05,0.0006463968306834715,0.0008527317730230989,0.0008934449355779178,0.0005806676652235468
VI - W. Visayas,2017,3757698.0,1170108.0,928957.0,764729.0,563804.0,503438.0,1.0,83.0,594.0,648.0,489.0,284.0,2.6612037476135655e-07,7.093362322110438e-05,0.0006394267980111027,0.0008473589990702589,0.0008673226866074026,0.0005641211032937521
VI - W. Visayas,2018,3758343.0,1196223.0,944947.0,770344.0,574544.0,519497.0,1.0,79.0,462.0,424.0,370.0,220.0,2.6607470366595066e-07,6.604119800405109e-05,0.0004889163095919666,0.0005504034561183055,0.00064398897212398,0.0004234865648887289
VI - W. Visayas,2019,3756740.0,1222169.0,960706.0,775593.0,585132.0,535543.0,1.0,54.0,462.0,413.0,384.0,242.0,2.6618823767415367e-07,4.418374218295506e-05,0.0004808963408160249,0.0005324957806478398,0.0006562621767396074,0.00045187781373297754
VI - W. Visayas,2020,3752927.0,1247999.0,976276.0,780498.0,595599.0,551600.0,1.0,48.0,453.0,404.0,403.0,247.0,2.664586867796789e-07,3.846156928010359e-05,0.00046400812884880914,0.0005176182386117581,0.0006766297458524947,0.0004477882523567803
VII - C. Visayas,2010,3610700.0,1017700.0,819000.0,632000.0,405600.0,358400.0,0.0,1.0,260.0,272.0,217.0,263.0,0.0,9.82607841210573e-07,0.00031746031746031746,0.00043037974683544304,0.0005350098619329389,0.0007338169642857143
VII - C. Visayas,2011,3648914.1999999997,1038504.2,831327.3999999999,644808.8,421261.4,367172.8,0.0,2.0,280.0,285.0,227.0,258.0,0.0,1.925846809285894e-06,0.00033681074387780316,0.0004419914864685469,0.0005388578208209914,0.0007026664284500377
VII - C. Visayas,2012,3687128.4000000004,1059308.4,843654.8,657617.6,436922.8,375945.60000000003,0.0,3.0,293.0,290.0,222.0,246.0,0.0,2.8320364494419192e-06,0.00034729844481415855,0.00044098576437126986,0.0005080989135838185,0.0006543499910625366
VII - C. Visayas,2013,3725342.5999999996,1080112.6,855982.2,670426.4,452584.2,384718.39999999997,0.0,4.0,288.0,291.0,223.0,325.0,0.0,3.7033175985540763e-06,0.00033645559452054026,0.000434052119665932,0.0004927259944116476,0.0008447737358026027
VII - C. Visayas,2014,3763556.8000000003,1100916.8,868309.6000000001,683235.2,468245.6,393491.19999999995,0.0,14.0,292.0,291.0,223.0,324.0,0.0,1.2716673957559735e-05,0.00033628558293032806,0.0004259148240605871,0.00047624579921306257,0.000823398337751899
VII - C. Visayas,2015,3801771.0,1121721.0,880637.0,696044.0,483907.0,402264.0,1.0,228.0,653.0,446.0,321.0,303.0,2.6303530644007753e-07,0.00020325909918776595,0.0007415087033590458,0.0006407640896265178,0.0006633506024918011,0.0007532366803889983
VII - C. Visayas,2016,3825991.0,1150213.0,902919.0,712339.0,500035.0,420068.0,1.0,287.0,599.0,426.0,314.0,291.0,2.613701914092323e-07,0.00024951900213264846,0.0006634039155228764,0.0005980298706093587,0.0006279560430769846,0.000692744984145424
VII - C. Visayas,2017,3846043.0,1178163.0,924747.0,728197.0,515999.0,437854.0,2.0,373.0,643.0,469.0,329.0,292.0,5.200149868319205e-07,0.00031659456289155234,0.0006953253160053507,0.0006440564847149878,0.0006375981348801064,0.0006668889629876625
VII - C. Visayas,2018,3862083.0,1205621.0,946177.0,743657.0,531825.0,455654.0,2.0,378.0,485.0,320.0,226.0,225.0,5.17855261008114e-07,0.0003135313668225753,0.0005125890821696152,0.00043030590715881114,0.0004249518168570488,0.0004937957309713071
VII - C. Visayas,2019,3874195.0,1232565.0,967188.0,758716.0,547499.0,473443.0,1.0,342.0,495.0,312.0,244.0,242.0,2.581181380906227e-07,0.00027747015370386147,0.000511792950284743,0.0004112210629537271,0.0004456629144528118,0.0005111491774088961
VII - C. Visayas,2020,3882485.0,1259036.0,987829.0,773399.0,563043.0,491254.0,1.0,315.0,500.0,315.0,258.0,247.0,2.575669963953499e-07,0.0002501914162899234,0.0005061604791922489,0.00040729300141324206,0.00045822432744923566,0.0005027948881841165
VIII - E. Visayas,2010,2326200.0,526500.0,459300.0,365200.0,244500.0,227400.0,0.0,0.0,128.0,149.0,181.0,229.0,0.0,0.0,0.0002786849553668626,0.00040799561883899234,0.0007402862985685072,0.0010070360598065083
VIII - E. Visayas,2011,2340956.8,538517.4,466061.8,374101.2,253030.8,233442.39999999997,0.0,0.0,130.0,150.0,180.0,232.0,0.0,0.0,0.00027893296554233794,0.0004009610233808392,0.0007113758483156991,0.000993821173874155
VIII - E. Visayas,2012,2355713.6,550534.8,472823.6,383002.4,261561.6,239484.80000000002,0.0,0.0,132.0,148.0,180.0,236.0,0.0,0.0,0.00027917388218354585,0.00038642055506701785,0.0006881744109227042,0.0009854487633453146
VIII - E. Visayas,2013,2370470.4,562552.2,479585.4,391903.6,270092.4,245527.19999999998,0.0,0.0,133.0,149.0,179.0,285.0,0.0,0.0,0.0002773228709631277,0.0003801955378822752,0.0006627361599215676,0.0011607675239240296
VIII - E. Visayas,2014,2385227.2,574569.6,486347.2,400804.8,278623.2,251569.60000000003,0.0,6.0,135.0,151.0,180.0,282.0,0.0,1.0442599121150858e-05,0.0002775794740876477,0.00037674199510584705,0.0006460337832599726,0.0011209621512297192
VIII - E. Visayas,2015,2399984.0,586587.0,493109.0,409706.0,287154.0,257612.0,1.0,64.0,166.0,182.0,200.0,373.0,4.166694444629631e-07,0.00010910572515244968,0.00033663956650557993,0.00044422097796956845,0.0006964903849502358,0.0014479139170535534
